"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.291062917E-1,-4.530644297E0,3.626402217E-1,-5.459113145E0,7.103531658E0
6.391442918E-1,-5.135355738E0,1.432123300E0,-5.176665732E0,7.431064783E0
6.491822917E-1,-5.151323315E0,2.340247785E0,-4.601790878E0,7.293104337E0
6.592202917E-1,-3.782977788E0,2.996377594E0,-3.265943592E0,5.827142282E0
6.692582917E-1,-1.019957308E0,2.817423267E0,-3.295970213E-1,3.014435432E0
6.792962917E-1,2.492668910E0,2.428520422E0,5.230927309E0,6.282810696E0
6.893332917E-1,7.198123612E0,1.738781987E0,1.456231517E1,1.633699389E1
6.993712917E-1,1.341139835E1,-3.463729754E-2,2.454418822E1,2.796934002E1
7.094092917E-1,1.994889419E1,-2.340389872E0,3.230916431E1,3.804363156E1
7.194472917E-1,2.138609769E1,-3.431745484E0,3.733595947E1,4.316382654E1
7.294852916E-1,1.894634462E1,-3.455647440E0,3.798246272E1,4.258606519E1
7.395232917E-1,1.533154679E1,-2.848470520E0,3.435609909E1,3.772945343E1
7.495602916E-1,1.237185229E1,-2.394515647E0,2.836117576E1,3.103470194E1
7.595982917E-1,1.054887288E1,-1.281819599E0,2.268830302E1,2.505356012E1
7.696362917E-1,9.546509845E0,-7.408641502E-2,1.780987043E1,2.020724682E1
7.796742917E-1,8.581502915E0,9.421273595E-1,1.381008608E1,1.628644448E1
7.897122917E-1,6.668991526E0,1.273275355E0,1.061318524E1,1.259906262E1
7.997502917E-1,4.644756511E0,1.006489124E0,7.655730802E0,9.010937661E0
8.097872917E-1,3.320314803E0,7.949055791E-1,4.805397359E0,5.894761153E0
8.198252918E-1,2.726192670E0,3.974493543E-1,2.153941754E0,3.497078429E0
8.298632917E-1,2.296555343E0,-6.946745818E-1,-6.454285276E-1,2.484616108E0
8.399012916E-1,1.534855810E0,-2.868927589E0,-3.250067232E0,4.598854735E0
8.499392917E-1,7.199121147E-1,-5.550481153E0,-5.416693350E0,7.788881905E0
8.599772917E-1,2.557297307E-1,-8.166875099E0,-7.066676450E0,1.080283123E1
8.700142917E-1,-5.052049872E-1,-1.117721701E1,-7.824791933E0,1.365330660E1
8.800522917E-1,-1.001744986E0,-1.469043468E1,-8.560126664E0,1.703197383E1
8.900902917E-1,-1.503096950E0,-1.779433204E1,-9.922058380E0,2.042901847E1
9.001282917E-1,-2.138669265E0,-2.045151850E1,-1.191927897E1,2.376778758E1
9.101662918E-1,-2.891690215E0,-2.251686968E1,-1.373894183E1,2.653544451E1
9.202042917E-1,-4.049434821E0,-2.414580806E1,-1.507784780E1,2.875342525E1
9.302412916E-1,-6.011883770E0,-2.504950460E1,-1.628135681E1,3.047462890E1
9.402792917E-1,-8.781244971E0,-2.463916806E1,-1.818174282E1,3.185552759E1
9.503172917E-1,-1.184135546E1,-2.402325276E1,-2.168943955E1,3.446398352E1
9.603552917E-1,-1.526590478E1,-2.399095742E1,-2.565995625E1,3.830205271E1
9.703932917E-1,-1.925468468E1,-2.355428736E1,-2.824554824E1,4.151335123E1
9.804312917E-1,-2.260243082E1,-2.286578707E1,-2.794393014E1,4.259785592E1
9.904692917E-1,-2.432379731E1,-2.195575449E1,-2.531558800E1,4.140750254E1
1.000506292E0,-2.323412657E1,-2.226105867E1,-2.340916882E1,3.979156388E1
1.010544292E0,-2.036424296E1,-2.317302317E1,-2.157389155E1,3.764471000E1
1.020582292E0,-1.658909927E1,-2.330121519E1,-1.916975504E1,3.443289637E1
1.030620292E0,-1.320801348E1,-2.255826563E1,-1.648832251E1,3.090617653E1
1.040658292E0,-1.204720786E1,-2.089570575E1,-1.391126980E1,2.784401486E1
1.050696292E0,-9.305499895E0,-2.031340961E1,-1.200104058E1,2.536241143E1
1.060733292E0,5.759938942E0,-2.306867610E1,-5.791091153E0,2.447197275E1
1.070771292E0,3.684790642E1,-2.177915922E1,9.510799145E0,4.384695296E1
1.080809292E0,6.407591751E1,-1.718788222E1,3.187046877E1,7.359941086E1
1.090847292E0,6.238911741E1,-1.814701036E1,5.366399577E1,8.427063782E1
1.100885292E0,3.998374244E1,-2.094825819E1,7.022990616E1,8.348514179E1
1.110923292E0,2.245538738E1,-1.978004999E1,7.682811480E1,8.245031245E1
1.120961292E0,1.486588857E1,-1.423311809E1,7.055395885E1,7.349447192E1
1.130998292E0,1.372245619E1,-1.142878762E1,5.391984654E1,5.680028909E1
1.141036292E0,1.371836314E1,-8.068879273E0,3.663725930E1,3.994482531E1
1.151074292E0,1.126209286E1,-4.128083380E0,2.394797337E1,2.678397350E1
1.161112292E0,7.851672753E0,-1.344696024E0,1.436287132E1,1.642403863E1
1.171150417E0,4.561111214E0,4.301545125E-1,6.647127033E0,8.072983724E0
1.181188417E0,2.421386381E0,1.589648606E0,4.585673028E-1,2.932640221E0
1.191226417E0,1.127089116E0,2.182683742E0,-4.497119286E0,5.124306789E0
1.201263417E0,3.848935550E-1,2.266239138E0,-8.175904954E0,8.492903196E0
1.211301417E0,6.053154588E-2,1.952720790E0,-1.050945563E1,1.068950140E1
1.221339417E0,-1.409561965E-1,1.150299200E0,-1.185881759E1,1.191530996E1
1.231377417E0,-6.255721141E-1,1.205890287E-1,-1.304058314E1,1.305613614E1
1.241415417E0,-1.296211643E0,-8.454158744E-1,-1.409244578E1,1.417716194E1
1.251453417E0,-1.452904889E0,-2.006381127E0,-1.486248315E1,1.506751152E1
1.261491417E0,-2.042411816E0,-3.412109657E0,-1.515907030E1,1.567199256E1
1.271528417E0,-2.796522102E0,-4.563020915E0,-1.453447540E1,1.548846897E1
1.281566417E0,-3.227161641E0,-5.202704553E0,-1.362999768E1,1.494187216E1
1.291604417E0,-3.177066206E0,-5.704959328E0,-1.322415297E1,1.474850949E1
1.301642417E0,-2.794540481E0,-6.499757903E0,-1.338746219E1,1.514200955E1
1.311680417E0,-2.595785727E0,-7.347749183E0,-1.373331564E1,1.579023369E1
1.321718417E0,-2.634339051E0,-7.718723441E0,-1.425932415E1,1.642701308E1
1.331756417E0,-2.975164481E0,-7.537390759E0,-1.480134466E1,1.687434938E1
1.341793417E0,-3.551446760E0,-7.187235512E0,-1.521739277E1,1.719994683E1
1.351831417E0,-4.591644205E0,-6.940116391E0,-1.578357983E1,1.784292028E1
1.361869417E0,-6.169420624E0,-6.779706216E0,-1.675609225E1,1.909954959E1
1.371907417E0,-7.404277725E0,-6.917078362E0,-1.818728598E1,2.081938215E1
1.381945417E0,-8.285035048E0,-7.259521716E0,-1.946225849E1,2.236340687E1
1.391983417E0,-8.925496951E0,-7.324911128E0,-2.006747338E1,2.315215555E1
1.402021417E0,-9.232676332E0,-6.702406610E0,-1.985536446E1,2.289978307E1
1.412058417E0,-9.525715392E0,-5.755482779E0,-1.929294886E1,2.227291430E1
1.422096417E0,-1.032467777E1,-4.857226202E0,-1.899743292E1,2.216064247E1
1.432134417E0,-1.193964482E1,-3.670947183E0,-1.924138928E1,2.294040176E1
1.442172417E0,-1.473473435E1,-1.754141599E0,-1.987705529E1,2.480497402E1
1.452210417E0,-1.627761225E1,-2.126632333E-1,-2.101871480E1,2.658556484E1
1.462248417E0,-1.330941823E1,-1.721249842E0,-2.189126438E1,2.567743700E1
1.472286417E0,-4.197558827E0,-1.008149441E1,-1.919683233E1,2.208561525E1
1.482323417E0,1.280957485E1,-2.549552319E1,-4.265306422E0,2.884960571E1
1.492361417E0,2.467081786E1,-3.669059994E1,2.028980089E1,4.864694645E1
1.502399417E0,3.030721333E1,-4.707474506E1,3.720357851E1,6.722101648E1
1.512437417E0,4.554002871E1,-4.615484239E1,5.186818954E1,8.303296199E1
1.522475417E0,6.154843281E1,-2.482973115E1,7.068405238E1,9.695854986E1
1.532513417E0,5.866611101E1,-1.698199241E1,6.937749906E1,9.243017918E1
1.542551417E0,3.846646482E1,-1.821154140E1,5.166394396E1,6.693647931E1
1.552588417E0,1.903789565E1,-1.904242490E1,3.231365965E1,4.206219225E1
1.562626417E0,7.125954353E0,-1.774577443E1,1.768281979E1,2.604561098E1
1.572664417E0,-3.895181179E-2,-1.312740026E1,6.075241860E0,1.446508619E1
1.582702417E0,-1.711874124E0,-7.503045384E0,-2.220459679E0,8.009784281E0
1.592740417E0,-3.181768245E-1,-3.191971343E0,-6.930997074E0,7.637318769E0
1.602778417E0,9.472074205E-1,-8.158493554E-1,-8.232023022E0,8.326404692E0
1.612816417E0,1.087580357E0,1.474057484E-1,-7.005530947E0,7.090981832E0
1.622854417E0,1.439134550E0,-1.106254464E-1,-5.412575741E0,5.601724948E0
1.632891417E0,3.056108949E0,-7.098714953E-1,-5.277154226E0,6.139387280E0
1.642929417E0,5.538667438E0,-1.182714629E0,-6.398033892E0,8.544617520E0
1.652967417E0,7.075115737E0,-2.223503447E0,-8.004515462E0,1.091208037E1
1.663005417E0,6.948272088E0,-3.754241647E0,-9.736201707E0,1.253660397E1
1.673043417E0,5.584017273E0,-5.503176593E0,-1.229662201E1,1.458331630E1
1.683081417E0,3.556119854E0,-7.023478975E0,-1.552676895E1,1.740849791E1
1.693119417E0,1.496305701E0,-8.414383060E0,-1.898838377E1,2.082305191E1
1.703157417E0,-8.139948379E-1,-9.025945684E0,-2.220145683E1,2.397988675E1
1.713194417E0,-2.781467569E0,-8.660122823E0,-2.522388260E1,2.681377524E1
1.723232417E0,-4.155944778E0,-8.211585249E0,-2.714398894E1,2.866178893E1
1.733270417E0,-6.112397992E0,-7.877663042E0,-2.825946695E1,2.996692271E1
1.743308417E0,-7.945240483E0,-7.387459964E0,-2.958311051E1,3.150971023E1
1.753346417E0,-8.150132182E0,-7.349654791E0,-3.033869473E1,3.226264835E1
1.763384417E0,-6.228848800E0,-7.188335373E0,-2.940240114E1,3.090261988E1
1.773422417E0,-3.171683552E0,-6.894774742E0,-2.761144810E1,2.863545987E1
1.783459417E0,-6.052609700E-1,-6.760931976E0,-2.473152833E1,2.564615051E1
1.793497417E0,-2.591691543E-2,-5.846977086E0,-2.138508028E1,2.217001288E1
1.803535417E0,-5.664088898E-1,-4.939427236E0,-1.898224887E1,1.962255163E1
1.813573417E0,-1.865040184E0,-4.305680276E0,-1.812305198E1,1.872063756E1
1.823611417E0,-3.243715986E0,-3.441026770E0,-1.790779843E1,1.852165228E1
1.833649417E0,-3.733728738E0,-2.330043224E0,-1.791497063E1,1.844765579E1
1.843687417E0,-2.796624429E0,-1.251388496E0,-1.897721792E1,1.922295194E1
1.853725417E0,3.203548830E0,-2.744320208E0,-1.811627389E1,1.860089778E1
1.863762417E0,1.389940697E1,-7.771113324E0,-9.380467046E0,1.848179857E1
1.873800417E0,2.193909227E1,-1.469780217E1,7.118484535E0,2.734999050E1
1.883838417E0,2.831607735E1,-2.887190198E1,2.931649619E1,4.994841248E1
1.893876417E0,2.641598019E1,-3.450922832E1,5.086299704E1,6.690093659E1
1.903914417E0,1.916072109E1,-2.650207927E1,6.458148648E1,7.238965281E1
1.913952417E0,1.476997669E1,-2.394098712E1,6.907883264E1,7.458691705E1
1.923990417E0,1.138079718E1,-2.252126678E1,6.177119302E1,6.672638375E1
1.934028417E0,1.140920646E1,-1.886039874E1,4.812352973E1,5.293164220E1
1.944066417E0,1.157155675E1,-1.387644963E1,3.431083463E1,3.877744387E1
1.954103417E0,1.013202605E1,-8.604925107E0,2.278918153E1,2.638274972E1
1.964141417E0,7.586715531E0,-4.547738924E0,1.439737340E1,1.689747149E1
1.974179417E0,4.959612409E0,-2.551720818E0,7.752412174E0,9.550336586E0
1.984217417E0,2.866254827E0,-1.248075610E0,1.891766052E0,3.654023571E0
1.994255417E0,1.423373673E0,-5.860450825E-1,-2.944261361E0,3.322366087E0
2.004293417E0,5.463639767E-1,-6.960877807E-1,-6.204241378E0,6.267029828E0
2.014331417E0,1.097072142E-1,-8.062070775E-1,-8.295271769E0,8.335078838E0
2.024369417E0,3.117001560E-1,-1.043396457E0,-9.927051902E0,9.986600654E0
2.034406417E0,5.241009955E-1,-1.566467319E0,-1.154417891E1,1.166175666E1
2.044444417E0,3.884843302E-1,-2.481349870E0,-1.259340329E1,1.284141050E1
2.054482417E0,2.488574982E-3,-3.452460415E0,-1.296389925E1,1.341574347E1
2.064520417E0,-5.120647945E-1,-4.344130397E0,-1.311747519E1,1.382757516E1
2.074558417E0,-1.155790686E0,-5.457235605E0,-1.363384632E1,1.473088721E1
2.084596417E0,-2.022513303E0,-6.618356393E0,-1.445665598E1,1.602772921E1
2.094634417E0,-3.121592209E0,-7.293901005E0,-1.546084510E1,1.737765983E1
2.104672417E0,-4.040397949E0,-7.670597348E0,-1.634114576E1,1.849853843E1
2.114709417E0,-5.117455657E0,-7.764350435E0,-1.711098198E1,1.947457816E1
2.124747417E0,-6.240995221E0,-7.711782796E0,-1.800497916E1,2.055725881E1
2.134785417E0,-6.927527921E0,-7.765095370E0,-1.905533906E1,2.171159358E1
2.144823417E0,-7.495622343E0,-8.114857684E0,-2.041742456E1,2.321435968E1
2.154861417E0,-7.519030502E0,-8.413846285E0,-2.158876453E1,2.435987239E1
2.164899417E0,-7.082380317E0,-8.106413720E0,-2.199269252E1,2.448576278E1
2.174936833E0,-6.183848628E0,-7.670623076E0,-2.189534574E1,2.401009386E1
2.184974833E0,-5.282844152E0,-7.391788657E0,-2.150714441E1,2.334746759E1
2.195012833E0,-4.967171105E0,-7.096862116E0,-2.062283491E1,2.236827128E1
2.205049833E0,-5.314649497E0,-6.457014756E0,-1.887961620E1,2.064893331E1
2.215087833E0,-5.712124506E0,-5.698820336E0,-1.704486518E1,1.885821700E1
2.225125833E0,-6.260195723E0,-4.831827066E0,-1.600300829E1,1.785029069E1
2.235163833E0,-7.646979859E0,-3.456992592E0,-1.470045330E1,1.692720963E1
2.245201833E0,-9.324423823E0,-2.160684470E0,-1.289161129E1,1.605637190E1
2.255239833E0,-1.014458002E1,-1.499666389E0,-1.158499949E1,1.547170696E1
2.265277833E0,-7.249731138E0,-3.177081701E0,-8.334721763E0,1.149434803E1
2.275315833E0,-1.715517524E-1,-7.560735183E0,6.914244801E-1,7.594222430E0
2.285353833E0,1.166981804E1,-1.190600228E1,1.488776417E1,2.235135489E1
2.295390833E0,2.538780579E1,-1.376289554E1,2.894214341E1,4.088527414E1
2.305428833E0,3.967955157E1,-1.631463916E1,4.140493393E1,5.962384437E1
2.315466833E0,4.525339352E1,-1.558495342E1,4.927232985E1,6.869150520E1
2.325504833E0,4.084679147E1,-1.196647886E1,5.228001596E1,6.741555502E1
2.335542833E0,3.118047159E1,-1.119653738E1,5.062063229E1,6.049820387E1
2.345580833E0,2.104469748E1,-1.006439715E1,4.346408940E1,4.932847504E1
2.355618833E0,1.445692963E1,-9.022822101E0,3.244084828E1,3.664454626E1
2.365656833E0,1.073856591E1,-7.250815796E0,2.176821558E1,2.533271278E1
2.375694833E0,8.144064526E0,-4.833412831E0,1.347243159E1,1.646797133E1
2.385731833E0,5.911671849E0,-3.022509678E0,7.772612550E0,1.022237422E1
2.395769833E0,3.930423517E0,-1.582342217E0,4.204733945E0,5.969239773E0
2.405807833E0,2.317479604E0,-9.726802307E-1,1.841945436E0,3.116020144E0
2.415845833E0,1.393403769E0,-1.354703826E0,-1.920868814E-2,1.943493117E0
2.425883833E0,8.548904103E-1,-2.658906128E0,-1.738673083E0,3.289924543E0
2.435921833E0,-1.394970238E-2,-4.610742965E0,-3.575372397E0,5.834589365E0
2.445959833E0,-1.413238694E0,-6.775941778E0,-5.978946404E0,9.146498275E0
2.455997833E0,-2.762109484E0,-9.182782626E0,-8.489509256E0,1.280720551E1
2.466035833E0,-3.824856132E0,-1.149879867E1,-9.775983238E0,1.556989864E1
2.476072833E0,-4.955962577E0,-1.324918256E1,-9.544728198E0,1.706470744E1
2.486110833E0,-6.060334384E0,-1.466416898E1,-8.648926574E0,1.807123227E1
2.496148833E0,-6.873979704E0,-1.608136800E1,-7.945209492E0,1.920906941E1
2.506186833E0,-7.738022177E0,-1.742655270E1,-7.500437526E0,2.048946777E1
2.516224833E0,-8.584236488E0,-1.851548435E1,-7.254912940E0,2.165977928E1
2.526262833E0,-9.420363184E0,-1.943188104E1,-6.944567292E0,2.268409703E1
2.536300833E0,-1.032038708E1,-2.012291668E1,-6.774271814E0,2.360789961E1
2.546338833E0,-1.144877574E1,-2.050054624E1,-6.780656973E0,2.444021626E1
2.556376833E0,-1.262543668E1,-2.020008589E1,-6.716596048E0,2.474990472E1
2.566413833E0,-1.385916409E1,-1.933172525E1,-5.947301273E0,2.451861381E1
2.576451833E0,-1.540900252E1,-1.847524031E1,-4.820124741E0,2.453579967E1
2.586489833E0,-1.694122445E1,-1.736088379E1,-3.712290798E0,2.453948807E1
2.596527833E0,-1.855644761E1,-1.636884753E1,-3.281501863E0,2.496095294E1
2.606565833E0,-2.002042902E1,-1.551210881E1,-3.867026836E0,2.562024579E1
2.616603833E0,-2.125036277E1,-1.494611471E1,-4.361767353E0,2.634367623E1
2.626641833E0,-2.234815880E1,-1.382585134E1,-3.559379092E0,2.651911662E1
2.636679833E0,-2.387827456E1,-1.187908988E1,-1.849324037E0,2.673396289E1
2.646717833E0,-2.551142294E1,-9.857459511E0,-1.004932888E0,2.736808540E1
2.656755833E0,-2.570153931E1,-8.855891696E0,-9.115815780E-1,2.719975959E1
2.666793833E0,-1.931352170E1,-9.584310340E0,-1.035534875E0,2.158572347E1
2.676830833E0,-6.064369547E-1,-1.045834629E1,-4.142535943E0,1.126522867E1
2.686868833E0,2.582424898E1,-6.554249859E0,-1.025077949E1,2.854695267E1
2.696906833E0,4.874100038E1,1.505538455E0,-1.605061866E1,5.133784300E1
2.706944833E0,5.917613322E1,7.179228920E-1,-1.655894986E1,6.145347002E1
2.716982833E0,6.375222968E1,-5.338269324E0,-1.575216508E0,6.399472803E1
2.727020833E0,6.492275805E1,-2.626659026E0,2.305884342E1,6.894616821E1
2.737058833E0,5.755085987E1,3.704972716E-1,4.021526879E1,7.021044498E1
2.747096833E0,4.509812422E1,1.472395121E0,4.550596985E1,6.408433543E1
2.757134833E0,3.448362219E1,3.007329429E0,4.204004914E1,5.445667968E1
2.767172833E0,2.577088495E1,2.388620631E0,3.057780609E1,4.006053226E1
2.777209833E0,1.901083473E1,-8.230011579E-1,1.534539768E1,2.444525308E1
2.787247833E0,1.330584442E1,-2.676551563E0,3.477499655E0,1.401079683E1
2.797285833E0,7.071497480E0,-3.383018005E0,-4.246922776E0,8.915561704E0
2.807323833E0,2.121477427E0,-3.577721808E0,-8.138426056E0,9.139734049E0
2.817361833E0,-1.579532338E0,-4.009111837E0,-9.164510661E0,1.012700132E1
2.827399833E0,-4.312979355E0,-5.296897350E0,-8.970809948E0,1.127538663E1
2.837437833E0,-6.010886235E0,-6.456893134E0,-7.846443003E0,1.180630722E1
2.847475833E0,-6.948486096E0,-7.694127129E0,-6.150289119E0,1.205433978E1
2.857513833E0,-7.258041201E0,-9.729544067E0,-4.671735857E0,1.300647169E1
2.867551833E0,-7.204160278E0,-1.195906108E1,-3.868971035E0,1.448751201E1
2.877588833E0,-6.930907611E0,-1.381694369E1,-3.193081145E0,1.578420668E1
2.887626833E0,-6.321465772E0,-1.551792328E1,-2.686283961E0,1.697006170E1
2.897664833E0,-5.571332324E0,-1.702468877E1,-2.615038854E0,1.810298870E1
2.907702833E0,-5.075972586E0,-1.829498234E1,-2.629884642E0,1.916737253E1
2.917740833E0,-5.247993577E0,-1.966438972E1,-2.757059244E0,2.053852564E1
2.927778833E0,-6.097973496E0,-2.074475403E1,-2.993534678E0,2.182868183E1
2.937816833E0,-7.175758013E0,-2.147630854E1,-3.359836426E0,2.289130473E1
2.947854833E0,-8.808411135E0,-2.185880064E1,-3.669984731E0,2.385087126E1
2.957892833E0,-1.101424342E1,-2.169946869E1,-3.457199584E0,2.457911163E1
2.967930833E0,-1.364460636E1,-2.103530685E1,-2.911642084E0,2.524157437E1
2.977968833E0,-1.651840761E1,-2.044261203E1,-2.473221655E0,2.639839013E1
2.988005833E0,-1.926688314E1,-1.980014804E1,-1.732401944E0,2.768139925E1
2.998043833E0,-2.090617227E1,-1.895556919E1,-5.025792950E-1,2.822470953E1
3.008081833E0,-2.168885716E1,-1.827547954E1,1.499302107E-1,2.836233694E1
3.018119833E0,-2.151709871E1,-1.768924939E1,-5.153637935E-1,2.785966046E1
3.028157833E0,-2.042568784E1,-1.759299253E1,-1.738133969E0,2.701375982E1
3.038195833E0,-2.011799566E1,-1.736217837E1,-2.601465420E0,2.670106008E1
