"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.297584584E-1,-1.065015367E1,-2.926550438E0,-9.171182334E-1,1.108294079E1
6.398194584E-1,-3.217944383E0,-2.713403347E0,1.872074969E0,4.606776364E0
6.498814583E-1,-1.827985209E0,-2.970862100E0,7.942308104E-1,3.577478738E0
6.599424583E-1,-5.118012312E0,-3.711300572E0,5.915201229E-1,6.349621880E0
6.700034583E-1,-5.755575165E0,-3.230172665E0,-3.601884842E-3,6.600051053E0
6.800644583E-1,-5.431134803E0,-1.763451244E0,-1.322175912E0,5.861325335E0
6.901254583E-1,-3.427749497E0,-1.047264536E0,-1.650169042E0,3.945793645E0
7.001864583E-1,-2.315672230E0,-2.098267782E0,-7.305300736E-1,3.209164962E0
7.102484583E-1,-3.280922404E0,-3.236775926E0,2.171462350E0,5.094744248E0
7.203094583E-1,-4.944773346E0,-3.030690225E0,3.961649403E0,7.023569796E0
7.303704583E-1,-5.202934933E0,-3.250113425E0,4.200192997E0,7.434742121E0
7.404314583E-1,-3.637312537E0,-3.459279438E0,5.232604290E0,7.250986442E0
7.504924583E-1,-1.984392965E0,-2.528155954E0,5.590910556E0,6.448850193E0
7.605544584E-1,-1.943926724E0,-4.399785365E0,6.289711883E0,7.918171376E0
7.706154583E-1,-3.659772862E0,-6.583466057E0,6.495487096E0,9.946221159E0
7.806764583E-1,-2.566658700E0,-5.009596163E0,8.029958451E0,9.806325679E0
7.907374583E-1,2.270782571E0,-2.174272522E0,1.006355632E1,1.054320067E1
8.007984583E-1,6.043819508E0,-3.063017142E-1,1.099467864E1,1.255008101E1
8.108594583E-1,8.526409280E0,9.431915528E-1,1.181895244E1,1.460400295E1
8.209214583E-1,1.064627346E1,1.161513721E0,8.912220263E0,1.393269259E1
8.309824583E-1,1.170145030E1,2.118826885E0,1.666747652E0,1.200797295E1
8.410434583E-1,1.024852948E1,3.639916302E0,-3.200027345E0,1.133673331E1
8.511044583E-1,8.016875306E0,-8.408763885E-2,-2.840951878E0,8.505784384E0
8.611654583E-1,1.538182115E1,2.640857527E0,4.931337029E0,1.636742604E1
8.712274584E-1,2.292233432E1,6.925509462E0,3.037252848E0,2.413754331E1
8.812884167E-1,1.820782491E1,8.079878470E0,-4.964762052E0,2.052944681E1
8.913494167E-1,1.164727468E1,6.803766924E0,-6.200168207E0,1.484561678E1
9.014104167E-1,7.537692475E0,2.612599103E0,-4.671765093E0,9.244883504E0
9.114714166E-1,2.973724312E0,-1.056847976E0,-2.847923221E0,4.250956433E0
9.215334166E-1,8.728127110E-1,-2.841350366E0,-7.722087345E-1,3.071055236E0
9.315944166E-1,9.684228730E-1,-2.824303978E0,1.181541897E0,3.211008732E0
