Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.00186083349399269,-3.56769792616367,-9.5770328950882,1.46867804601789,10.3249718047464
0.011848833411932,-4.32199810087681,-9.17950058341026,-0.476170345544815,10.1572455293149
0.0218368333298713,-4.45871740490198,-8.88929216086865,-2.20613224625587,10.1865939109217
0.0318248334806412,-4.16135052859783,-8.04473728895187,-3.12699269771576,9.5818954075737
0.0418128333985806,-3.28692340135574,-6.3440576595068,-3.1321639752388,7.80137066170494
0.0518008335493505,-1.57751534074545,-3.80747937619686,-2.31672531366348,4.72786104167845
0.0617898334749043,0.50323944568634,-1.04540029764175,-1.59093499302864,1.96905710278986
0.0717778333928436,1.73184762775898,1.2406066685915,-1.7504353415966,2.75724953477891
0.0817658335436136,1.91702149227262,3.18626826167107,-1.87873494744301,4.16616392379263
0.0917538334615529,1.97142267107964,5.06268946588039,-1.7311102938652,5.70211143573231
0.101741833379492,2.51793209731579,6.79632575690746,-1.40604018688202,7.38288391130621
0.111729833530262,2.85329593509436,8.64937856376171,-1.10244807243347,9.17433588794845
0.121718833455816,3.23608653903008,10.3974568927288,-0.412634500265122,10.8972305268382
0.131706833373755,3.64836962163448,11.6135736680031,0.645371224880219,12.1902501309901
0.141694833524525,3.90665136963129,12.4611205601692,1.83496502995491,13.1874389932265
0.151682833442464,4.06691858053207,12.7119649422169,2.45547272443771,13.570675212873
0.161670833360404,4.17608872801065,11.9519894599915,1.71786050319672,12.7765728512934
0.171658833511174,4.04300726920366,10.6909812712669,0.247143094539642,11.4325879848175
0.181647833436728,3.55423792809248,9.52641822695732,-1.19083458423615,10.2373501694242
0.191635833354667,2.67538475096226,8.54188569009304,-2.24295099377632,9.22780168126623
0.201623833505437,1.6177140712738,7.55552122056484,-2.41680625677109,8.09591577362134
0.211611833423376,1.29237060695887,6.96730185091496,-1.62567680954933,7.2702367194336
0.221599833341315,1.10806943938136,6.56548879265785,-0.571996817998588,6.68286176191063
0.231587833492085,1.15769139647484,6.4162093770504,0.697588103190065,6.55702838954764
0.241576833417639,1.55649138450623,6.44048409283161,1.63375649213791,6.82434326918436
0.251564833335578,2.06985192194581,6.51417070448399,1.84145997092128,7.07881923561024
0.261552833486348,2.63629962265492,6.92139711499214,1.5757462656498,7.57223811151903
0.271540833404288,2.87393982231617,7.37642860651016,0.910197688266635,7.96866920639589
0.281528833322227,2.85049424171448,7.92224747657776,0.222264361381531,8.42239419337105
0.291517833480611,2.85688875675201,8.57195031881333,-0.183978108912706,9.03736651803052
0.301505833398551,2.70405598819256,9.05178336024284,-0.0244939863681793,9.44707895295776
0.311493833549321,2.32068987205625,9.1888479423523,0.327593619078398,9.48302934558347
0.32148183346726,1.34657283425331,8.74691538333893,-0.266229283511639,8.85396324549856
0.331469833385199,-1.05830437168479,6.80733314037323,-3.08769706964493,7.54941493236692
0.341457833535969,-3.86587668836117,3.53728363394737,-6.21499733090401,8.12918014929859
0.351446833461523,-5.26820330858231,-1.38616140782833,-9.43753821015358,10.8969049283372
0.361434833379462,-4.95123042583466,-10.6259578943253,-9.9760749578476,15.393106751604
0.371422833530232,-5.1799267244339,-22.361389875412,-2.83369606822729,23.1277588935411
0.381410833448172,-4.59051452279091,-27.2862914586067,2.39391148388386,27.7731045679207
0.391398833366111,1.61982783973217,-18.2605808329582,1.64255245864391,18.4057228373886
0.401386833516881,2.09140271231532,-8.45254608213902,3.54671811640263,9.40205881565214
0.411375833442435,-2.53009781420231,-5.63199894011021,3.2166232046485,6.96185836192586
0.421363833360374,-4.97592438697815,-7.61536571860314,-1.18339692592621,9.1735514833292
0.431354958331212,-3.98086627721787,-13.3616198372841,-2.9192133513093,14.2443668719833
0.441342958481982,-0.212445424497128,-17.6015177679062,-0.860021634399891,17.6237963561754
0.451330958399922,1.97224537432194,-17.9665009689331,0.661420662403107,18.0865249889486
0.461319958325475,1.91785647466779,-16.0981050682068,1.09805739820004,16.2490889065877
0.471307958476245,0.59049437507987,-13.6697189855576,0.544169370532036,13.6932837937048
0.481295958394185,-1.28606774702668,-11.8107429492474,-1.27437843203545,11.9487095391584
0.491283958544955,-2.39304478034377,-10.3186832034588,-2.99346129566431,11.0073928294902
0.501271958462894,-3.08707960367203,-8.7193551170826,-3.49687031060457,9.88864581762286
0.511259958380833,-2.91539190351963,-6.77795439004898,-3.03591763615608,7.97853191747803
0.521248958539218,-2.40779058113694,-4.3531158131361,-2.13380818203092,5.4129668503409
0.531236958457157,-1.9971586060524,-1.57017737746239,-1.10933638483286,2.77213396305768
0.541224958375096,-1.91132425770164,0.975533671975136,-0.709548948258162,2.26015178101168
0.551212958525866,-1.92855000883341,3.55862772524357,-0.912514062747359,4.1491949024064
0.561200958443806,-1.65230400636792,5.54868196427822,-1.6438885474205,6.01833445618522
0.571189958369359,-1.34801753506064,6.7674486976862,-2.47352424860001,7.3303366470482
0.581177958520129,-1.22350867912173,7.59353163063526,-2.82869114398956,8.19513207345857
0.591165958438069,-0.579689597636461,8.37324438929558,-2.4731289768219,8.75006448938943
0.601153958356008,0.464937551915646,9.1639352953434,-1.27965028166771,9.2645227544539
0.611141958506778,1.86678046122193,10.2466221177578,1.30600952982903,10.4968469078351
0.621129958424717,3.38429883778095,10.9500246191025,3.46331167817116,11.9729296983868
0.631118958350271,3.98056806921959,10.8936223769188,3.2800529229641,12.0529945582847
0.641106958501041,3.58729603886604,10.3442390441895,2.94339948177338,11.3373530765828
